Departamento;Nome da Unidade (a);Endereço;CEP;Características do Imóvel;Telefone;Fax;Horário de Atendimento;Email
ATIVIDADE DE LICITAÇÕES E CONTRATOS;Apoio;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3502;-;8:00 as 14:00;licitacao@mppa.mp.br
ATIVIDADE DE LICITAÇÕES E CONTRATOS;Assessoria/Chefe;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3402;-;8:00 as 14:00;-
ATIVIDADE DE LICITAÇÕES E CONTRATOS;Pregoeiros;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3503;-;8:00 as 14:00;-
 CENTRO DE APOIO OPERACIONAL AMBIENTAL;Assessor/Apoio;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3557;-;8:00 as 14:00;caoma@mppa.mp.br
CENTRO DE APOIO OPERACIONAL AMBIENTAL;Coordenadoria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3509;-;8:00 as 14:00;-
CENTRO DE APOIO OPERACIONAL CÍVEL, PROCESSUAL E DO CIDADÃO;Apoio;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3504;-;8:00 as 14:00;-
CENTRO DE APOIO OPERACIONAL CÍVEL, PROCESSUAL E DO CIDADÃO;Assessor;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3605;-;8:00 as 14:00;caocivel@mppa.mp.br
 CENTRO DE APOIO OPERACIONAL CÍVEL, PROCESSUAL E DO CIDADÃO;Coordenadoria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3696;-;8:00 as 14:00;-
CENTRO DE APOIO OPERACIONAL DA INFÂNCIA E JUVENTUDE;Apoio;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3606;-;8:00 as 14:00;caoinfancia@mppa.mp.br
CENTRO DE APOIO OPERACIONAL DA INFÂNCIA E JUVENTUDE;Assessoria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3600;-;8:00 as 14:00;-
CENTRO DE APOIO OPERACIONAL DA INFÂNCIA E JUVENTUDE;Coordenadoria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3507;-;8:00 as 14:00;-
 CENTRO DE APOIO OPERACIONAL DE DEFESA DO PATRIMÔNIO PÚBLICO E DE CONTROLE À SONEGAÇÃO FISCAL;Apoio;Rua João Diogo, 100 - Cidade Velha;-;PRÓPRIO;(91) 4006-3511;-;8:00 as 14:00;-
CENTRO DE APOIO OPERACIONAL DE DEFESA DO PATRIMÔNIO PÚBLICO E DE CONTROLE À SONEGAÇÃO FISCAL;Coordenadoria;Rua João Diogo, 100 - Cidade Velha;-;PRÓPRIO;(91) 4006-3570;-;8:00 as 14:00;-
CENTRO DE APOIO OPERACIONAL DE POLÍTICAS CRIMINAIS, EXECUÇÃO PENAL E CONTROLE EXTERNO DA ATIVIDADE POLICIAL;Apoio;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3505;-;8:00 as 14:00;caocriminal@mppa.mp.br
 CENTRO DE APOIO OPERACIONAL DE POLÍTICAS CRIMINAIS, EXECUÇÃO PENAL E CONTROLE EXTERNO DA ATIVIDADE POLICIAL;Assessoria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3604;-;8:00 as 14:00;-
CENTRO DE APOIO OPERACIONAL DE POLÍTICAS CRIMINAIS, EXECUÇÃO PENAL E CONTROLE EXTERNO DA ATIVIDADE POLICIAL;Coordenadoria;Rua João Diogo, 100 - Cidade Velha;66.015-160;PRÓPRIO;(91) 4006-3603;-;8:00 as 14:00;-
